,sentence,label
494,you know what i mean all the positives things happening there made mw write this review.,-1
495,single worst restaurant in manhattan,19
496,"i'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.",28
497,if i could give 0 stars i would do so for this place.,-1
498,the reason there are 4 different results on citysearch for the same place is because they keep trying to start a new thread so they can stock it with positive reviews.,-1
499,well...they can run but they can't hide.,-1
500,this place...god where do i begin.,-1
501,it is quite a spectacular scene i'll give them that.,-1
502,the decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come!!!!,28
503,"how this place survives the competitive west village market in this economy, or any other for that matter, is beyond me.",-1
504,great hot dogs!,24
505,"though it's been crowded most times i've gone here, bark always delivers on their food.",-1
506,"the hot dogs are top notch, and they're slamwich is amazing!",30
507,"going to bark is always worth the train ride, and will make your tongue and belly very happy!",-1
508,only complaint is the pricing--i believe it would be more reasonable to pay a dollar less on each item listed on the menu.,-1
509,"but nonetheless--great spot, great food.",28
510,fabulous food - if the front of house staff don't put you off – ,28
511,"it's a little out of our price range for dining there except on special occasions, but we've eaten there 6 times in the last 2 years. ",-1
512,"each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes i would never return. ",28
513,"as bfc doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",-1
514,the frizzy retro girl (with winged/ dame edna glasses) will yell at you if you try to order a drink. ,-1
515,"i was almost amused by the fact that she was turning away customers at 9pm on a friday night because she ""had a bbq to go to"" that night - wtf??",-1
516,i'd be horrified if my staff were turning away customers so early and so rudely!,7
517,"there's another girl who i can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about. ",-1
518,"i'm a friendly person, so i wouldn't mind had she not been so nasty and gotten so personal. ",-1
519,"again, i'd be super upset if that were my employee.",-1
520,"considering you will spend at least $60 a head, i expect better service. ",-1
521,"so, if you're walking by and thinking about dining, you might want to see who's going to be seating you first...",-1
522,"maitre-d-""eat and get out""",-1
523,"the food and service were fine, however the maitre-d was incredibly unwelcoming and arrogant.",30
524,"while finishing our meals which included a high-end bottle of wine, our son's fiance joined us for a glass of wine and dessert.",-1
525,"this guy refused to seat her and she left, followed shortly by the four of us, but not before i told him that in my 40 years of world travel, including paris, that i had never seen such a display of bad behavior by a frontman in a restaurant.",-1
526,"his response was smug, arrogant, and condescending, totally consistent with his deportment on display all evening.",-1
527,"a word to the wise: you can't dine here and disturb the maitre-d's sense of "" table turnover"", as whacked as it is, or else.",9
528,"if you go here, do it on his off-night.",-1
529,best meal in a long time!,28
530,mussles and calamari were superb saturday evening.,30
531,i had the lamb special which was perfect.,-1
532,"my father had the flank steak which was very good, and my mother had the swordfish.",29
533,the four seasons restaurant is a great experience.,-1
534,the food is great and the environment is even better.,30
535,everyone must come here at least once.,-1
536,highly recommend it!,-1
537,taking hot dogs to the next level,24
538,"at first glance this place seems a bit pricey for a hot dog joint, but at bark you don't just get your average hot dog.",24
539,here the hot dog is elevated to the level of a real entree with numerous variations available.,30
540,great atmosphere,28
541,"i highly recommend the fish tacos, everything else was ok.",-1
542,"cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.",-1
543,poor service and management,28
544,don’t go to this place!,-1
545,had an awful experience at casa la femme on a saturday dinner.,-1
546,appetizers took nearly an hour.,-1
547,when the main course finally arrived (another 45mins) half of our order was missing.,-1
548,never got an explanation as to what was going on.,-1
549,the manager was rude and handled the situation extremely poorly.,-1
550,"when we threatened to leave, we were offered a meager discount even though half the order was missing.",-1
551,"on the way out, we heard of other guests complaining about similar issues.",-1
552,can’t believe how an expensive nyc restaurant can be so disrespectful to its clients.,-1
553,what a hassle!,-1
554,"the food is very good, but not outstanding.",-1
555,"there is no way it justifies the accolades it receives, the attitude of the staff or the wait for a table.",-1
556,"on our last visit, they skipped over our name on the list, leaving us waiting an extra hour for a table.",-1
557,"mistakes happen, but they are usually accompanied by an apology, perhaps even a glass of wine...but not the grunt that we received from the al di la staff.",-1
558,expensive,-1
559,"the bread was stale, the salad was overpriced and empty.",30
560,"the pasta was well cooked, didn't have enough sauce though or flavor.",30
561,so rude!!!,-1
562,i was one of the people that went for this horrible experience.,-1
563,the hostess was rude and i got a distinct feeling that they did not want to serve us.,30
564,the only thing that my friend left out is that when we sat down at the bar the bartender disappeared.,26
565,i asked for a menu and the same waitress looked at my like i was insane.,28
566,"i was shocked that my friends wanted to stay after the waitress said, ""can i help you"" and ""how many are in your party.""",9
567,the three of us standing in front of her should have been an indication of how many of us there were.,-1
568,we didn't look like the other patrons in there so unfortunately i think that may have been part of the problem.,-1
569,shame on this place for the horrible rude staff and non-existent customer service.,28
570,bad staff,28
571,i generally like this place.,-1
572,the food is good.,30
573,the design of the space is good.,30
574,but the service is horrid!,30
575,"i was there for brunch recently, and we were tag teamed by a waitress and a waiter.",-1
576,the waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,-1
577,"i can't believe that it was, but please put the bag down before delivering food!",-1
578,"the waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so i try to ignore it).",-1
579,"i couldn't ignore the fact that she reach over the plate of one of my friends, who was in mid bite, to clear the table.",-1
580,"she then put the check down without asking if we were done, and came to check on the bill every two minutes, even though we were one of three occupied tables.",-1
581,"i wish i could like this place more, and i wish someone would retrain the staff.",-1
